"economy"	"economycode"	"wpid_random"	"wgt"	"female"	"age"	"educ"	"inc_q"	"account"	"account_fin"	"account_mob"	"q2"	"q3"	"q4"	"q5"	"q6"	"q8a"	"q8b"	"q8c"	"q8d"	"q8e"	"q8f"	"q8g"	"q8h"	"q8i"	"q9"	"q10"	"q11"	"q12"	"q13"	"q14"	"q16"	"q17a"	"q17b"	"q17c"	"q18a"	"q18b"	"q20"	"q21a"	"q21b"	"q21c"	"q21d"	"q22a"	"q22b"	"q22c"	"q24"	"q25"	"q26"	"q27a"	"q27b"	"q27c"	"q27d"	"q28"	"q29a"	"q29b"	"q29c"	"q29d"	"q30"	"q31a"	"q31b"	"q31c"	"q32"	"q33a"	"q33b"	"q33c"	"q34"	"q35"	"q36a"	"q36bc"	"q36d"	"q37"	"q38"	"q39"	"q40a"	"q40bc"	"q40d"	"q41"	"q42"	"q43"	"q44a"	"q44b"	"q44c"	"saved"	"borrowed"
"Mexico"	"MEX"	166440716	0.286976329466481	"2 female"	"50"	"secondary"	"5 richest 20%"	"yes"	"yes"	"no"	"no"			"yes"	"no"										"yes"	"2 three or more times per month"	"yes"	"2 three or more times per month"	"1 you get it at an atm"	"no"	"no"	"no"	"yes"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"no"	"2 somewhat possible"	"1 savings"	"yes"	"no"	"yes"	"no"	"no"	"no"					"yes"	"yes"	"no"	"no"	"no"				"yes"	"no"	"no"	"yes"	"no"	"2 over time as needed"	"2 you had an account before, but this account was opened so you could receive payments from an employer."	"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	167814465	0.286285095113012	"1 male"	"55"	"secondary"	"5 richest 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"no"										"yes"	"1 one or two times per month"	"yes"	"1 one or two times per month"	"1 you get it at an atm"	"no"	"no"	"no"	"yes"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"2 somewhat possible"	"1 savings"	"no"					"no"					"no"				"no"				"no"							"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	114096527	0.812750458817899	"2 female"	"50"	"completed tertiary or more"	"5 richest 20%"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"										"yes"	"1 one or two times per month"	"yes"	"1 one or two times per month"	"1 you get it at an atm"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"(dk)"	"no"	"yes"	"yes"	"no"	"2 somewhat possible"	"1 savings"	"no"					"no"					"no"				"no"				"yes"	"yes"	"no"	"yes"	"no"	"2 over time as needed"	"2 you had an account before, but this account was opened so you could receive payments from an employer."	"(dk)"						"no"				"yes"	"yes"
"Mexico"	"MEX"	198297362	0.942575975659378	"1 male"	"33"	"secondary"	"5 richest 20%"	"yes"	"yes"	"no"	"yes"	"no"	"yes"	"yes"	"no"										"yes"	"2 three or more times per month"	"yes"	"2 three or more times per month"	"1 you get it at an atm"	"no"	"(dk)"	"no"	"yes"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"no"	"1 very possible"	"1 savings"	"no"					"no"					"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"no"	"yes"	"no"	"2 over time as needed"	"2 you had an account before, but this account was opened so you could receive payments from an employer."	"no"						"(dk)"				"yes"	"yes"
"Mexico"	"MEX"	144874213	0.797474384316976	"2 female"	"28"	"secondary"	"5 richest 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"(dk)"											"yes"	"2 three or more times per month"	"yes"	"2 three or more times per month"	"1 you get it at an atm"	"no"	"no"	"no"	"yes"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"2 somewhat possible"	"2 family, relatives, or friends"	"no"					"no"					"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"no"	"yes"	"no"	"2 over time as needed"	"2 you had an account before, but this account was opened so you could receive payments from an employer."	"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	205160235	1.0632991790893	"2 female"	"27"	"secondary"	"5 richest 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"no"										"yes"	"2 three or more times per month"	"yes"	"1 one or two times per month"	"1 you get it at an atm"	"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"2 somewhat possible"	"1 savings"	"no"					"no"					"yes"	"yes"	"no"	"no"	"no"				"yes"	"no"	"no"	"yes"	"no"	"2 over time as needed"	"2 you had an account before, but this account was opened so you could receive payments from an employer."	"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	205023858	0.765706380153672	"1 male"	"41"	"secondary"	"5 richest 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"										"yes"	"1 one or two times per month"	"yes"	"1 one or two times per month"	"1 you get it at an atm"	"yes"	"no"	"no"	"yes"	"no"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"yes"	"no"	"2 somewhat possible"	"1 savings"	"no"					"no"					"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"no"	"yes"	"no"	"2 over time as needed"	"2 you had an account before, but this account was opened so you could receive payments from an employer."	"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	208396213	0.316031799538194	"2 female"	"51"	"secondary"	"5 richest 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"no"										"yes"	"1 one or two times per month"	"yes"	"1 one or two times per month"	"1 you get it at an atm"	"yes"	"no"	"no"	"yes"	"no"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"2 somewhat possible"	"1 savings"	"yes"	"no"	"no"	"no"	"yes"	"no"					"no"				"no"				"yes"	"no"	"no"	"yes"	"no"	"2 over time as needed"	"2 you had an account before, but this account was opened so you could receive payments from an employer."	"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	116445322	1.82136022700161	"2 female"	"60"	"completed primary or less"	"2 second 20%"	"yes"	"yes"	"no"	"no"			"yes"	"yes"										"no"		"no"		"2 you get it over the counter in a branch of your financial institution"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"4 not at all possible"		"(dk)"					"no"					"yes"	"yes"	"no"	"no"	"no"				"no"							"no"						"no"				"no"	"yes"
"Mexico"	"MEX"	190224095	0.286285095113012	"2 female"	"52"	"secondary"	"1 poorest 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"yes"	"no"	"no"	"no"	"yes"	"no"	"yes"	"no"							"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"3 not very possible"	"2 family, relatives, or friends"	"no"					"no"					"no"				"no"				"no"							"no"						"no"				"no"	"no"
"Mexico"	"MEX"	124123618	0.910680113500805	"2 female"	"72"	"completed primary or less"	"1 poorest 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"no"	"no"							"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"4 not at all possible"		"no"					"no"					"yes"	"yes"	"no"	"no"	"no"				"no"							"no"						"no"				"no"	"no"
"Mexico"	"MEX"	119453931	1.30110671763751	"1 male"	"15"	"secondary"	"5 richest 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"no"	"no"							"no"	"yes"	"yes"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"2 somewhat possible"	"1 savings"	"no"					"no"					"no"				"no"				"no"							"no"						"no"				"yes"	"no"
"Mexico"	"MEX"	168762824	1.18148499808377	"1 male"	"20"	"secondary"	"1 poorest 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"yes"	"yes"	"no"	"no"	"no"	"no"	"no"							"no"	"no"	"no"	"no"	"no"	"no"	"(dk)"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"2 somewhat possible"	"2 family, relatives, or friends"	"no"					"no"					"no"				"yes"	"yes"	"no"	"no"	"no"							"no"						"no"				"no"	"no"
"Mexico"	"MEX"	145933593	0.538189823634152	"1 male"	"90"	"completed primary or less"	"1 poorest 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"							"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"4 not at all possible"		"no"					"no"					"yes"	"yes"	"no"	"no"	"no"				"no"							"no"						"no"				"no"	"no"
"Mexico"	"MEX"	135768217	1.18148499808377	"1 male"	"18"	"secondary"	"2 second 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"yes"							"no"	"no"	"no"	"(dk)"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"3 not very possible"	"2 family, relatives, or friends"	"no"					"no"					"no"				"yes"	"yes"	"no"	"no"	"no"							"no"						"no"				"no"	"yes"
"Mexico"	"MEX"	166287138	0.96063155350629	"1 male"	"50"	"completed tertiary or more"	"5 richest 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"										"yes"	"1 one or two times per month"	"yes"	"1 one or two times per month"	"1 you get it at an atm"	"no"	"yes"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"yes"	"yes"	"yes"	"no"	"no"	"no"	"no"	"2 somewhat possible"	"2 family, relatives, or friends"	"no"					"no"					"yes"	"yes"	"yes"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"no"	"yes"	"no"	"1 all of the money right away"	"1 you had this account before you began receiving payments from an employer."	"yes"	"no"	"yes"	"no"	"1 all of the money right away"	"1 you had this account before you began receiving payments from the government."	"no"				"yes"	"yes"
"Mexico"	"MEX"	172157293	2.86285095113012	"1 male"	"20"	"completed tertiary or more"	"1 poorest 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"(dk)"	"no"	"no"	"no"	"yes"	"no"	"no"							"no"	"no"	"no"	"yes"	"(dk)"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"(dk)"	"3 not very possible"	"2 family, relatives, or friends"	"no"					"no"					"no"				"yes"	"yes"	"no"	"no"	"no"							"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	118254281	0.541833639211933	"2 female"	"49"	"completed tertiary or more"	"1 poorest 20%"	"no"	"no"	"no"	"(ref)"			"(ref)"		"(dk)"	"no"	"no"	"yes"	"no"	"yes"	"no"	"no"	"no"							"no"	"no"	"yes"	"no"	"no"	"yes"	"(ref)"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"5 (dk)"		"(dk)"					"no"					"yes"	"yes"	"no"	"no"	"no"				"no"							"(dk)"						"no"				"yes"	"yes"
"Mexico"	"MEX"	193876280	1.48093691319188	"2 female"	"40"	"completed tertiary or more"	"4 fourth 20%"	"yes"	"yes"	"no"	"(ref)"			"(ref)"		"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"							"no"	"no"	"yes"	"yes"	"yes"	"no"	"(ref)"	"yes"	"yes"	"yes"	"no"	"no"	"no"	"yes"	"2 somewhat possible"	"5 (a/an [insert local terminology for private lenders (i.e., loan shark or pawn shop)])"	"no"					"no"					"yes"	"yes"	"yes"	"no"	"yes"	"yes"	"no"	"no"	"(ref)"							"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	191849348	2.37287570987586	"1 male"	"31"	"completed tertiary or more"	"1 poorest 20%"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"										"yes"	"1 one or two times per month"	"yes"	"1 one or two times per month"	"1 you get it at an atm"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"no"	"yes"	"yes"	"1 very possible"	"1 savings"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"1 all of the money right away"	"2 you had an account before, but this account was opened so you could receive payments from an employer."	"no"						"yes"	"yes"	"yes"	"no"	"yes"	"yes"
"Mexico"	"MEX"	199937073	1.75039547763956	"1 male"	"40"	"completed tertiary or more"	"1 poorest 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"(ref)"											"(ref)"		"(ref)"		"7 (refused)"	"(ref)"	"(ref)"	"yes"	"yes"	"yes"	"yes"	"yes"	"(ref)"	"(ref)"	"(ref)"	"(ref)"	"(ref)"	"(ref)"	"(ref)"	"(ref)"	"1 very possible"	"1 savings"	"yes"	"no"	"yes"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"no"	"no"				"yes"	"yes"	"no"	"yes"	"no"	"1 all of the money right away"	"1 you had this account before you began receiving payments from an employer."	"yes"	"no"	"yes"	"no"	"1 all of the money right away"	"2 you had an account before, but this account was opened so you could receive payments from the government."	"yes"	"yes"	"yes"	"no"	"yes"	"no"
"Mexico"	"MEX"	164290756	1.08366727842387	"2 female"	"54"	"completed tertiary or more"	"5 richest 20%"	"yes"	"yes"	"no"	"no"			"yes"	"yes"										"yes"	"1 one or two times per month"	"yes"	"1 one or two times per month"	"1 you get it at an atm"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"yes"	"no"	"no"	"no"	"yes"	"no"	"no"	"yes"	"no"	"1 very possible"	"1 savings"	"yes"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"no"	"1 all of the money right away"	"1 you had this account before you began receiving payments from an employer."	"yes"	"yes"	"yes"	"no"	"1 all of the money right away"	"2 you had an account before, but this account was opened so you could receive payments from the government."	"yes"	"yes"	"yes"	"no"	"yes"	"yes"
"Mexico"	"MEX"	205773272	1.11070268489391	"2 female"	"38"	"completed tertiary or more"	"5 richest 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"no"										"yes"	"1 one or two times per month"	"yes"	"1 one or two times per month"	"1 you get it at an atm"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"yes"	"yes"	"no"	"yes"	"yes"	"no"	"1 very possible"	"1 savings"	"yes"	"no"	"yes"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"yes"	"no"				"yes"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"no"	"1 all of the money right away"	"2 you had an account before, but this account was opened so you could receive payments from an employer."	"yes"	"yes"	"yes"	"no"	"3 (dk)"	"2 you had an account before, but this account was opened so you could receive payments from the government."	"no"				"yes"	"yes"
"Mexico"	"MEX"	157766026	1.48093691319188	"2 female"	"43"	"completed tertiary or more"	"5 richest 20%"	"yes"	"yes"	"no"	"(ref)"			"(ref)"											"(ref)"		"(ref)"		"1 you get it at an atm"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"1 very possible"	"1 savings"	"yes"	"yes"	"yes"	"no"	"yes"	"no"					"yes"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"no"	"1 all of the money right away"	"2 you had an account before, but this account was opened so you could receive payments from an employer."	"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	113886759	1.25676796754584	"1 male"	"26"	"secondary"	"1 poorest 20%"	"yes"	"yes"	"no"	"no"			"no"											"no"		"no"		"1 you get it at an atm"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"no"	"yes"	"no"	"2 somewhat possible"	"1 savings"	"no"					"no"					"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"yes"	"no"	"no"			"no"						"no"				"no"	"yes"
"Mexico"	"MEX"	195840768	0.62027858891211	"2 female"	"70"	"completed tertiary or more"	"1 poorest 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"yes"							"no"	"no"	"yes"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"2 somewhat possible"	"6 some other source"	"no"					"no"					"yes"	"yes"	"no"	"no"	"no"				"no"							"no"						"no"				"yes"	"no"
"Mexico"	"MEX"	201046873	1.48093691319188	"2 female"	"40"	"completed tertiary or more"	"1 poorest 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"										"yes"	"1 one or two times per month"	"yes"	"1 one or two times per month"	"2 you get it over the counter in a branch of your financial institution"	"no"	"no"	"no"	"yes"	"yes"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"1 very possible"	"4 a credit card or borrowing from a formal financial institution"	"no"					"no"					"no"				"no"				"no"							"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	176962798	2.15275929453661	"1 male"	"71"	"completed primary or less"	"1 poorest 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"							"no"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"2 somewhat possible"	"1 savings"	"no"					"no"					"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"no"							"no"						"no"				"yes"	"no"
"Mexico"	"MEX"	113528177	2.15275929453661	"1 male"	"60"	"completed primary or less"	"2 second 20%"	"yes"	"yes"	"no"	"no"			"yes"	"no"										"no"		"no"		"1 you get it at an atm"	"no"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"yes"	"no"	"4 not at all possible"		"no"					"no"					"yes"	"yes"	"no"	"no"	"yes"	"yes"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"no"			"yes"	"no"	"yes"	"no"	"2 over time as needed"	"3 this was your first account, and it was opened so you could receive payments from the government."	"no"				"yes"	"yes"
"Mexico"	"MEX"	202374680	2.15275929453661	"1 male"	"65"	"completed primary or less"	"2 second 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"yes"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"							"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"4 not at all possible"		"no"					"no"					"yes"	"yes"	"no"	"no"	"no"				"no"							"no"						"no"				"no"	"no"
"Mexico"	"MEX"	134187902	1.61456947090246	"1 male"	"73"	"completed primary or less"	"2 second 20%"	"no"	"no"	"no"	"no"			"no"		"yes"	"no"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"yes"							"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"(dk)"	"no"	"no"	"no"	"yes"	"no"	"2 somewhat possible"	"1 savings"	"yes"	"yes"	"no"	"no"	"no"	"no"					"yes"	"yes"	"no"	"no"	"no"				"no"							"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	160903394	1.46774980531807	"2 female"	"23"	"secondary"	"2 second 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"yes"	"yes"	"yes"	"no"	"yes"	"no"	"no"	"yes"							"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	"yes"	"2 somewhat possible"	"2 family, relatives, or friends"	"no"					"yes"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"no"	"no"	"no"				"no"							"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	197003713	1.7898949600588	"2 female"	"47"	"completed primary or less"	"3 middle 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"no"	"yes"	"yes"	"(dk)"	"no"	"no"	"yes"							"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"3 not very possible"	"1 savings"	"no"					"no"					"no"				"yes"	"yes"	"no"	"no"	"no"							"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	119493569	1.19326330670587	"2 female"	"50"	"completed primary or less"	"3 middle 20%"	"no"	"no"	"no"	"no"			"no"		"yes"	"no"	"no"	"yes"	"no"	"yes"	"yes"	"no"	"no"							"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"3 not very possible"	"5 (a/an [insert local terminology for private lenders (i.e., loan shark or pawn shop)])"	"no"					"no"					"yes"	"yes"	"no"	"no"	"no"				"no"							"(ref)"						"no"				"yes"	"yes"
